molecule_chembl_id,canonical_smiles,standard_value,pchembl_value,bioactivity_class
CHEMBL1683130,CS(=O)(=O)N1CCC([C@H](N)Cc2cc(F)ccc2F)CC1,130.0,6.89,Ara Bileşik
CHEMBL1683131,N[C@H](Cc1cc(F)ccc1F)C1CCN(c2ccccn2)CC1,450.0,6.35,Ara Bileşik
CHEMBL1683132,N[C@H](Cc1cc(F)ccc1F)C1CCN(c2cccnc2)CC1,110.0,6.96,Ara Bileşik
CHEMBL1683133,N[C@H](Cc1cc(F)ccc1F)C1CCN(c2ccncc2)CC1,430.0,6.37,Ara Bileşik
CHEMBL1683134,N#Cc1cncc(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)c1,77.0,7.11,Ara Bileşik
CHEMBL1683135,Cc1ccc(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)c(C)n1,71.0,7.15,Ara Bileşik
CHEMBL1683136,N[C@H](Cc1cc(F)ccc1F)C1CCN(c2ccc(F)nc2)CC1,110.0,6.96,Ara Bileşik
CHEMBL1683137,CCOC(=O)c1cncc(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)c1,82.0,7.09,Ara Bileşik
CHEMBL1683138,NOC(=O)c1cncc(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)c1,18.0,7.75,Aktif
CHEMBL1683139,N[C@H](Cc1cc(F)ccc1F)C1CCN(c2ncccn2)CC1,670.0,6.17,Aktif Değil
CHEMBL1683140,N[C@H](Cc1cc(F)ccc1F)C1CCN(c2cncnc2)CC1,75.0,7.12,Ara Bileşik
CHEMBL1683141,COc1ncc(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)cn1,78.0,7.11,Ara Bileşik
CHEMBL1683142,N[C@H](Cc1cc(F)ccc1F)C1CCN(c2cnc(O)nc2)CC1,72.0,7.14,Ara Bileşik
CHEMBL1683143,COC(=O)C1CCCC(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)C1,54.0,7.27,Ara Bileşik
CHEMBL1683144,N[C@H](Cc1cc(F)ccc1F)C1CCN(C2CCCC(C(=O)O)C2)CC1,51.0,7.29,Ara Bileşik
CHEMBL1683145,NC(=O)C1CCCC(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)C1,21.0,7.68,Aktif
CHEMBL1683557,N[C@H]1CN(c2cc(-c3cc(F)cc(F)c3F)ncn2)C[C@@H]1c1ccccc1,13.0,7.89,Aktif
CHEMBL1683558,N[C@H]1CN(c2cc(-c3cc(F)c(F)cc3F)ncn2)C[C@@H]1N1CCCC1=O,488.0,6.31,Ara Bileşik
